taxon_id	name	full_name	family	n_proteins	n_interactions
120499	SalV	Salem virus	Paramyxoviridae	1	2
648168	CTFV	Colorado tick fever virus Florio N-7180	Spinareoviridae	1	2
10530	MAV-1	Murine adenovirus 1	Adenoviridae	1	2
3052300	PICHV	Mammarenavirus caliense	Arenaviridae	1	2
35244	BoHV-5	Bovine alphaherpesvirus 5	Orthoherpesviridae	1	2
296738	MPV	Pneumonia virus of mice 15	Pneumoviridae	1	2
31548	HPV21	Human papillomavirus 21	Papillomaviridae	1	2
3052342	CDV	Morbillivirus canis	Paramyxoviridae	1	2
12216	PVY	Potato virus Y	Potyviridae	1	1
11788	Abelson murine leukemia virus	Abelson murine leukemia virus	Retroviridae	1	1
247268	HPV93	Human papillomavirus 93	Papillomaviridae	1	1
336960	AAstV2	Avian nephritis virus 1	Astroviridae	1	1
10568	MmiPV1	Micromys minutus papillomavirus 1	Papillomaviridae	1	1
29342	Clostridium botulinum D phage	Clostridium botulinum D phage		1	1
37958	HPV37	Human papillomavirus 37	Papillomaviridae	1	1
37120	HPV67	Human papillomavirus 67	Papillomaviridae	1	1
10454	SeMNPV	Spodoptera exigua multiple nucleopolyhedrovirus	Baculoviridae	1	1
45240	HPV68	Human papillomavirus 68	Papillomaviridae	1	1
10891	Reovirus sp.	Reovirus sp.		1	1
10602	Human papillomavirus type me180	Human papillomavirus type me180	Papillomaviridae	1	1
247269	HPV96	Human papillomavirus 96	Papillomaviridae	1	1
56947	CfGV	Choristoneura fumiferana granulovirus	Baculoviridae	1	1
40540	HPV60	Human papillomavirus type 60	Papillomaviridae	1	1
10970	Rotavirus sp.	Rotavirus sp.	Sedoreoviridae	1	1
10684	Bacillus phage PBS2	Bacillus phage PBS2		1	1
765055	HPV123	Human papillomavirus 123	Papillomaviridae	1	1
11240	PDV	Phocine morbillivirus	Paramyxoviridae	1	1
364370	AAstV1	Turkey astrovirus 1	Astroviridae	1	1
272636	Adeno-associated virus	Adeno-associated virus	Parvoviridae	1	1
70600	EppoNPV	Epiphyas postvittana nucleopolyhedrovirus	Baculoviridae	1	1
2018513	Rh-BatCoV_HKU2	Porcine enteric alphacoronavirus	Coronaviridae	1	1
